road_width,latitude,longitude,quality,num_bedrooms,num_bathrooms,direction,age,land_area,usage_area,hospital_3km,convenience_store_3km,discount_store_3km,department_store_3km,education_3km,bank_3km,hospital_3km_shortest,convenience_store_3km_shortest,discount_store_3km_shortest,department_store_3km_shortest,education_3km_shortest,bank_3km_shortest,target,index_right
4.0,13.9594,100.32989,แย่,1,2,,0,33,113,10,12,2,0,6,1,1.68,1.768,1.766,0.0,1.816,2.839,1400000,0
6.0,13.94597,100.39567,ดี,1,2,ทิศตะวันออกเฉียงเหนือ,24,16,104,19,28,4,0,3,5,0.851,0.946,1.582,0.0,1.37,1.199,1200000,0
6.0,13.927483,100.351355,ดี,2,3,ทิศตะวันออกเฉียงเหนือ,20,18,114,12,17,2,0,8,0,0.651,0.308,1.841,0.0,0.702,0.0,1350000,0
4.0,13.86363,100.40499,พอใช้,4,1,,13,22,130,57,59,9,2,20,30,0.605,0.138,0.657,1.629,0.671,0.834,1570000,0
6.0,13.92631,100.35247,ดี,2,4,ทิศตะวันออกเฉียงเหนือ,23,18,117,12,17,2,0,8,0,0.779,0.207,1.866,0.0,0.67,0.0,1290000,0
4.0,13.88241,100.41781,ดีมาก,4,2,,22,16,94,84,65,10,2,23,29,0.398,0.467,0.4,0.916,0.361,0.703,880000,0
4.0,13.938476,100.401675,ดี,1,2,,0,24,86,28,31,6,0,7,7,0.474,0.265,1.018,0.0,0.736,0.631,1550000,0
4.0,13.88141,100.41557,แย่,4,4,,29,16,118,84,67,10,2,25,29,0.151,0.203,0.15,0.664,0.622,0.454,1560000,0
4.0,13.804573,100.495031,ค่อนข้างแย่,2,3,,15,16,100,156,144,9,0,151,70,0.334,0.436,0.733,0.0,0.225,1.315,1280000,0
4.0,13.97038,100.34616,แย่,4,3,,10,21,137,11,13,2,0,1,0,0.39,0.306,1.142,0.0,1.106,0.0,1250000,0
4.0,13.938904,100.407372,ค่อนข้างแย่,3,3,,18,20,155,34,32,6,0,11,9,0.691,0.131,1.069,0.0,1.263,1.201,1270000,0
4.0,13.930351,100.360672,ดี,2,1,,6,61,134,13,21,2,0,6,1,0.446,0.312,1.082,0.0,0.374,2.632,3500000,0
6.0,13.886844,100.396224,ดี,5,3,ทิศเหนือ,11,55,130,65,58,13,2,13,29,0.543,0.755,0.556,1.917,1.14,1.305,4000000,0
4.0,13.980146,100.339796,ค่อนข้างแย่,5,1,,20,17,102,8,9,3,0,1,1,0.799,0.76,0.771,0.0,1.596,2.67,880000,0
4.0,13.95644,100.35765,ค่อนข้างแย่,1,3,,17,16,112,14,15,2,0,4,1,0.37,0.343,0.348,0.0,1.957,1.346,880000,0
4.0,13.90057,100.36827,ดีมาก,1,1,,8,24,101,13,16,3,0,4,0,1.368,0.215,1.83,0.0,1.608,0.0,1250000,0
